subject_code,subject,tik_number,tik_name,tik_classifier_id,uik_count,uik_voting_address_count,missing_uik_voting_address_count,tik_address_present,tik_phone_present,fallback_present,priority_missing_uiks
54,Новосибирская область,25,Заельцовский район города Новосибирска,b364b5dd-d053-4d3c-838c-755e6b321e04,60,0,60,0,0,0,60
55,Омская область,2,ТИК по Большереченскому району,5746eb4c-730a-4d9b-8883-7d482a1ca87b,60,0,60,0,0,0,60
61,Ростовская область,43,"Ростов-на-Дону, Ворошиловская",7804a2fc-5fb2-41a8-981d-7bd176fc452a,60,0,60,0,0,0,60
61,Ростовская область,47,"Ростов-на-Дону, Октябрьская",bd95c695-6afb-497a-b0b6-676335e9a434,60,0,60,0,0,0,60
61,Ростовская область,63,Таганрогская городская (западная),76795004-acb4-431d-a3fa-f1c5a040400d,60,0,60,0,0,0,60
93,Республика Крым,10,ТИК Красногвардейского района,647a30f2-a693-42dc-8a2d-227aa874a604,60,0,60,0,0,0,60
36,Воронежская область,23,Новоусманская,65ed4756-12b4-4ba7-aad2-760270af21f8,59,0,59,0,0,0,59
55,Омская область,27,ТИК по Тарскому району,61995b75-61e6-42eb-ac58-ce9242f53766,59,0,59,0,0,0,59
69,Тверская область,36,"Тверь, Московская",2585fa1f-d611-41b1-9c33-3a49137467bd,59,0,59,0,0,0,59
11,Республика Коми,20,Ухтинская городская,6ce42663-4467-4802-8627-6f0aa0c88fae,58,0,58,0,0,0,58
23,Краснодарский край,44,Лазаревская г. Сочи,b4d94488-879f-4e86-a062-b10823f715f6,58,0,58,0,0,0,58
25,Приморский край,3,ТИК города Артёма,1064d8b2-cb9b-4a34-ab92-2b1117553669,58,0,58,0,0,0,58
30,Астраханская область,1,"Астрахань, Кировская",05fd2a03-8f7e-4bc5-a939-3646d525f603,58,0,58,0,0,0,58
43,Кировская область,49,"Киров, Ленинская 2",663f5563-000c-488b-8cdc-08a3d93d153c,58,0,58,0,0,0,58
61,Ростовская область,48,"Ростов-на-Дону, Первомайская",66006150-3bd3-4a7d-9404-986a87dcb96a,58,0,58,0,0,0,58
78,город Санкт-Петербург,215,ТИК №12 (215),735a1022-33cb-4a42-aba7-d461270892e8,58,0,58,0,0,0,58
5,Республика Дагестан,35,"Махачкала, Ленинская",4a36c7e3-0c13-4e6b-8a91-d62346fa0443,57,0,57,0,0,0,57
16,Республика Татарстан (Татарстан),27,Зеленодольская,4d1eccf8-3e1b-4a2e-a384-edf825507d8a,57,0,57,0,0,0,57
16,Республика Татарстан (Татарстан),46,"Набережные Челны, Автозаводская",9963398b-82e8-4457-b448-28739a3f2412,57,0,57,0,0,0,57
